logFC,logCPM,LR,PValue
ENSG00000182888,-0.702982824991138,-0.993625643806425,4.33339837982315,0.0373715602926274
ENSG00000286431,1.54822767866742,-0.153074709570798,11.6263530715062,0.000650239212345972
ENSG00000101846,0.256677814052392,1.7994126770617,2.07230452999098,0.149994722089353
ENSG00000285679,0.0112719550674042,-1.78833443632846,0.000693961690238609,0.978983636024106
ENSG00000101849,0.129579180212294,6.2607280204078,1.2909009450534,0.255881984340957
ENSG00000047644,0.465493051986593,6.75049331140619,14.5947208002994,0.00013328742009543
ENSG00000004961,-0.622969915965567,3.72837255707204,25.3596168520627,4.75774525902111e-07
ENSG00000005302,1.02030754878636,6.79345649268432,66.996292187568,2.72018265193448e-16
ENSG00000101911,-0.850138887460356,4.84489784213344,57.9581595409438,2.67752625856456e-14
ENSG00000229083,-1.46373792634716,0.851220788609177,10.2620769061536,0.00135792720961688
ENSG00000205542,-0.25940047138349,11.1760899026334,8.87252266523344,0.00289494821529318
ENSG00000261030,0.293629660004242,-2.11598357857697,0.519660716920301,0.470986446375111
ENSG00000226985,1.22875485781936,-1.74825710986512,1.8208837231815,0.177208120768176
ENSG00000198759,-1.36867377519872,2.23878689727874,20.6792363977791,5.43016612632624e-06
ENSG00000176896,1.4834692020772,2.72807326612407,50.2302382914645,1.3672466783583e-12
ENSG00000123595,-0.480782090966689,3.64366573836834,8.28230791647443,0.00400332129138032
ENSG00000046651,0.699305371933223,6.10724880463847,28.5226566817101,9.26084445191234e-08
ENSG00000289449,1.58755421411012,-1.35043611027164,5.97332338139134,0.0145238831988349
ENSG00000233247,-0.353571393000763,2.13063461665486,3.65907385699513,0.0557646226951159
ENSG00000130150,-0.0264458701295928,4.07367473316871,0.0294933375157109,0.863644890491601
ENSG00000186312,-0.143164976642302,2.67610522160722,0.646685804277881,0.421300089061235
ENSG00000169239,0.631454054217848,4.05700698615654,12.664018127979,0.000372760237432542
ENSG00000169249,0.27949865762527,4.33842710458407,6.15680613156609,0.0130907371879032
LRG_618,0.262686075358246,4.16431824473565,5.00182528952191,0.0253206019763374
ENSG00000169895,-0.471612137522191,4.90445528690373,19.837368955343,8.43180457038646e-06
ENSG00000086712,-0.136137552632931,4.5850947733212,1.02173097503222,0.312108768618131
ENSG00000188158,-0.197442111001999,3.91961075974218,0.165071155266117,0.684529901769202
ENSG00000047634,-2.37193889960352,-1.45135905806366,20.7794444608303,5.15331197693404e-06
ENSG00000008086,0.19889639350418,0.0428784352481774,0.538723134804996,0.462962383004681
ENSG00000224224,-1.13621894527526,-0.25721056396076,18.0368672991982,2.16668085663941e-05
ENSG00000286724,0.750552384300228,-0.799857068083811,4.43907836975083,0.0351252042514202
ENSG00000131828,-0.856232357301338,5.90087735912866,63.3871032769071,1.69826252678037e-15
ENSG00000149970,-0.687912126352808,2.18908730570875,7.7781824233664,0.00528809750733653
ENSG00000012174,-0.364543442589443,3.4808772297377,6.63794389753536,0.00998290860342154
ENSG00000230797,-0.5275626503035,0.235115365115239,5.67619479229017,0.0171966244467758
ENSG00000102172,-1.35636552276251,5.36564740738806,66.8056741571473,2.99634423830315e-16
ENSG00000102174,-0.993569750657328,4.65911262380574,6.1999131314434,0.0127756582936911
ENSG00000174028,-0.976048234810195,4.83564529864966,22.4161366730617,2.19521876060054e-06
ENSG00000123131,-2.19165727269439,2.59058929778073,69.6275110692536,7.1630805814059e-17
ENSG00000130066,0.874626623315777,6.70716518395886,36.120709258301,1.85465332119571e-09
ENSG00000288706,0.824046143630315,3.7333401949342,23.9656540792402,9.80696491045904e-07
ENSG00000130741,-0.51407822579107,7.23609818872149,25.7659373590546,3.85431065818068e-07
ENSG00000005889,0.388164098066238,5.38424177706318,13.8926397199251,0.000193554965382765
ENSG00000067992,-0.432136510964681,5.7632170243111,9.71434863309898,0.00182834869782474
ENSG00000101868,-1.85823866629163,4.88447605690093,95.8940717114534,1.21197761366698e-22
ENSG00000236683,-1.74536231129084,0.249837232118016,43.3173708025884,4.65433186771503e-11
ENSG00000238247,-0.648469186835397,0.437114146804273,6.9859383412443,0.00821525709810053
ENSG00000178556,-2.38002568538562,-1.73500031664469,19.1885791741942,1.1841976575203e-05
ENSG00000232368,-0.305122736596707,4.00046793553881,4.08171112784521,0.0433497380124746
ENSG00000198814,-0.319494103674194,4.11284900339184,4.90909388141154,0.0267156524735014
LRG_848,-0.322721445273293,4.09174887499174,4.99784787550384,0.0253788568615198
ENSG00000241886,0.306556407903253,0.190212586356415,1.15385208835098,0.282744222091703
ENSG00000236285,-0.758746011342622,-2.31241554473014,3.50446112374051,0.0612037537127215
ENSG00000226781,-0.610071156565015,3.43127867020197,12.927838935826,0.000323731306011344
ENSG00000147036,-0.485114125777904,0.444045649299968,2.05664588335142,0.151543422178001
ENSG00000165175,-0.151284948824676,5.26906042754476,1.27486095419374,0.258856745112092
ENSG00000214047,-0.0834858585217593,-1.06509783511996,0.118920977180269,0.73020773595736
ENSG00000288856,0.706678034519397,0.110760173391337,6.78718855355271,0.00918143943742915
ENSG00000182220,0.116942357968719,5.99525932474127,1.23079256147229,0.267252959098772
ENSG00000238222,0.44651879545718,-0.944372659961515,1.74434057523777,0.186589785650053
ENSG00000124486,-0.015492280264432,7.28636833291903,0.0276415636230922,0.867954293265804
ENSG00000215301,0.479737234450363,8.61805239013914,23.7982093877638,1.06981938070421e-06
ENSG00000171659,0.190292496686576,-1.0594880071585,0.141498110164125,0.706796207037238
ENSG00000171657,0.055358048113676,-1.27666274319806,0.0140511381740414,0.905641786279658
ENSG00000189221,-3.59559229255216,0.028113287630052,52.6959447143847,3.89394292190699e-13
ENSG00000214019,0.678219414872663,4.05299655289519,25.4691489903938,4.49513752525467e-07
ENSG00000233543,-0.463874670263063,-2.42656830521803,0.49966080688122,0.479649198615569
ENSG00000214016,-0.799755014022859,3.28547873435109,22.0231865514385,2.69376558107913e-06
LRG_616,0.540420369979506,5.53266680766837,30.4938012187323,3.34934998292475e-08
ENSG00000147050,0.546313862926848,5.60737771359777,31.3727036534546,2.12953858122274e-08
ENSG00000147121,0.664258722359909,4.09375728500539,19.8987426866076,8.16540084858627e-06
ENSG00000230844,-0.560447401154177,2.21325690209051,13.0368401584141,0.000305422976319283
ENSG00000147119,-0.441882602480997,1.64359016661201,6.03700946755958,0.014008995202397
ENSG00000102218,0.088361599894091,3.84098804068284,0.525175764153531,0.468642160162557
ENSG00000102221,-3.24531378516535,-1.89892958580676,23.0520942295002,1.5767067130146e-06
ENSG00000288759,-0.640422077157599,-1.01580411041582,4.7368581588621,0.0295229404359102
ENSG00000182872,-0.4881332352742,6.19867293055821,13.3539226530165,0.000257882646837341
ENSG00000130985,-0.7034946043876,8.04613915500366,40.3242026361605,2.15127363852785e-10
ENSG00000224975,1.08045625740714,0.958188052379097,29.5272355473089,5.51364451826128e-08
ENSG00000102225,-0.603237724455229,5.57927740756375,27.0309692027611,2.00221756114094e-07
ENSG00000102226,-0.118142318580872,5.8855799278901,0.698050968250051,0.403439373121908
ENSG00000147117,-0.231598272281342,-2.02931583129586,0.334103138436594,0.563252941982422
ENSG00000196741,-0.393573189605107,0.420515338303617,4.53343463382773,0.0332388434361269
